Sample Number (#),Time (ms),Neck right / left lateral bending (+/-),Neck right / left rotation (+/-),Neck flexion / extension (+/-),Back right / left lateral bending (+/-),Back right / left rotation (+/-),Back flexion / extension (+/-),Shoulder (L) abduction / adduction (+/-),Shoulder (L) internal / external rotation (+/-),Shoulder (L) flexion / extension (+/-),Shoulder (R) abduction / adduction (+/-),Shoulder (R) internal / external rotation (+/-),Shoulder (R) flexion / extension (+/-),Elbow (L) supination / pronation (+/-),Elbow (L) flexion / extension (+/-),Elbow (R) supination / pronation (+/-),Elbow (R) flexion / extension (+/-),Wrist (L) flexion / extension (+/-),Wrist (L) ulnar / radial deviation (+/-),Wrist (R) flexion / extension (+/-),Wrist (R) ulnar / radial deviation (+/-),Hip (L) abduction / adduction (+/-),Hip (L) internal / external rotation (+/-),Hip (L) flexion / extension (+/-),Hip (R) abduction / adduction (+/-),Hip (R) internal / external rotation (+/-),Hip (R) flexion / extension (+/-),Knee (L) valgus / varus (+/-),Knee (L) internal / external rotation (+/-),Knee (L) flexion / extension (+/-),Knee (R) valgus / varus (+/-),Knee (R) internal / external rotation (+/-),Knee (R) flexion / extension (+/-),Ankle (L) eversion / inversion (+/-),Ankle (L) abduction / adduction (+/-),Ankle (L) dorsiflexion / plantarflexion (+/-),Ankle (R) eversion / inversion (+/-),Ankle (R) abduction / adduction (+/-),Ankle (R) dorsiflexion / plantarflexion (+/-)
6773,52.9063,-3.43,34.01,-3.36,5.26,52.14,-1.31,1.18,25.72,-7.66,13.61,-19.47,23.74,-22.32,12.21,-5.12,-0.15,4.42,-3.8,-3.06,14.18,4.51,49.84,18.04,-5.02,-67.77,18.05,-3.61,-61.7,5.19,-16.56,79.91,30.52,-8.18,-112.44,-2.65,26.22,-143.45,-64.35
6774,52.9141,-3.54,33.8,-3.35,5.17,52.4,-1.15,1.42,25.79,-7.56,13.65,-19.66,23.95,-22.11,12.3,-5.39,-0.52,4.38,-3.83,-2.99,14.11,4.37,49.58,17.74,-5.64,-68.99,18.62,-3.42,-61.51,5.17,-16.58,80.56,30.54,-7.94,-112.04,-2.69,29.23,-139.95,-61.89
6775,52.9219,-3.64,33.6,-3.35,5.11,52.67,-0.94,1.67,25.89,-7.44,13.7,-19.88,24.16,-21.97,12.3,-5.69,-0.87,4.34,-3.86,-2.94,14.04,4.21,49.36,17.41,-6.28,-70.14,19.11,-3.29,-61.36,5.11,-16.6,80.96,30.45,-7.7,-111.66,-2.72,31.91,-136.96,-59.32
6776,52.9297,-3.73,33.4,-3.38,5.08,52.92,-0.7,1.92,26.03,-7.31,13.75,-20.11,24.33,-21.9,12.23,-6.03,-1.22,4.33,-3.88,-2.9,13.98,4.06,49.16,17.03,-6.92,-71.21,19.52,-3.19,-61.28,5,-16.64,81.1,30.24,-7.46,-111.35,-2.73,34.21,-134.56,-56.69
6777,52.9375,-3.83,33.21,-3.43,5.08,53.16,-0.44,2.16,26.21,-7.16,13.77,-20.37,24.49,-21.87,12.09,-6.4,-1.55,4.33,-3.9,-2.85,13.93,3.94,48.97,16.62,-7.53,-72.18,19.84,-3.1,-61.36,4.84,-16.74,80.96,29.9,-7.24,-111.18,-2.71,36.1,-132.8,-54.04
6778,52.9453,-3.92,33.03,-3.49,5.1,53.38,-0.16,2.39,26.44,-7,13.79,-20.64,24.61,-21.86,11.88,-6.79,-1.87,4.35,-3.9,-2.79,13.89,3.86,48.8,16.14,-8.09,-73.04,20.1,-3,-61.59,4.65,-16.86,80.57,29.43,-7.03,-111.14,-2.67,37.49,-131.67,-51.43
6779,52.9531,-4,32.86,-3.55,5.16,53.58,0.15,2.58,26.72,-6.82,13.8,-20.93,24.72,-21.84,11.62,-7.18,-2.18,4.39,-3.89,-2.7,13.86,3.79,48.62,15.62,-8.61,-73.75,20.34,-2.89,-61.91,4.42,-16.92,79.94,28.88,-6.84,-111.2,-2.62,38.35,-131.17,-48.92
6780,52.9609,-4.08,32.71,-3.63,5.25,53.76,0.45,2.75,27.03,-6.63,13.82,-21.21,24.8,-21.82,11.31,-7.55,-2.47,4.44,-3.88,-2.57,13.84,3.75,48.43,15.06,-9.1,-74.29,20.59,-2.75,-62.27,4.16,-16.85,79.03,28.28,-6.66,-111.32,-2.57,38.67,-131.29,-46.6
6781,52.9688,-4.14,32.57,-3.71,5.4,53.94,0.72,2.89,27.36,-6.45,13.86,-21.49,24.86,-21.78,10.98,-7.89,-2.77,4.48,-3.88,-2.4,13.84,3.76,48.22,14.51,-9.54,-74.62,20.91,-2.61,-62.6,3.91,-16.97,75.83,28.16,-6.48,-111.43,-2.51,38.57,-133.28,-45.9
6782,52.9766,-4.2,32.44,-3.78,5.59,54.1,0.95,3.02,27.7,-6.25,13.92,-21.77,24.91,-21.72,10.63,-8.2,-3.05,4.53,-3.87,-2.18,13.84,3.81,47.98,13.99,-9.93,-74.7,21.33,-2.44,-62.86,3.66,-16.57,74.21,27.55,-6.32,-111.49,-2.46,37.86,-134.62,-44.03
6783,52.9844,-4.25,32.32,-3.83,5.84,54.26,1.15,3.15,28.05,-6.05,14,-22.04,24.96,-21.63,10.28,-8.48,-3.35,4.57,-3.86,-1.93,13.86,3.92,47.72,13.51,-10.26,-74.52,21.81,-2.26,-63.01,3.44,-15.9,72.44,26.99,-6.15,-111.47,-2.41,36.67,-136.35,-42.27
6784,52.9922,-4.29,32.21,-3.87,6.11,54.42,1.31,3.28,28.37,-5.84,14.1,-22.31,25.03,-21.49,9.96,-8.73,-3.64,4.62,-3.86,-1.66,13.89,4.04,47.44,13.08,-10.52,-74.12,22.33,-2.07,-63.05,3.24,-14.95,70.67,26.52,-5.98,-111.38,-2.35,35.12,-138.29,-40.6
6785,53,-4.33,32.11,-3.87,6.4,54.59,1.45,3.41,28.68,-5.63,14.21,-22.56,25.12,-21.3,9.66,-8.95,-3.94,4.66,-3.85,-1.38,13.92,4.15,47.12,12.67,-10.7,-73.5,22.87,-1.89,-63,3.03,-13.76,68.93,26.14,-5.81,-111.23,-2.3,33.34,-140.29,-39
6786,53.0078,-4.37,32.01,-3.85,6.68,54.76,1.57,3.55,28.96,-5.42,14.33,-22.81,25.22,-21.06,9.39,-9.15,-4.24,4.7,-3.85,-1.1,13.96,4.24,46.77,12.29,-10.81,-72.68,23.43,-1.72,-62.9,2.82,-12.33,67.25,25.89,-5.65,-111.08,-2.24,31.41,-142.25,-37.43
6787,53.0156,-4.4,31.92,-3.8,6.95,54.93,1.68,3.7,29.22,-5.21,14.45,-23.08,25.33,-20.78,9.16,-9.37,-4.53,4.74,-3.86,-0.83,13.99,4.29,46.37,11.92,-10.86,-71.7,24.05,-1.55,-62.8,2.6,-10.66,65.62,25.74,-5.5,-110.97,-2.17,29.34,-144.1,-35.84
6788,53.0234,-4.43,31.84,-3.72,7.19,55.09,1.78,3.86,29.47,-5,14.56,-23.37,25.46,-20.45,8.96,-9.61,-4.83,4.76,-3.87,-0.59,14.01,4.31,45.92,11.54,-10.87,-70.58,24.74,-1.39,-62.71,2.38,-8.75,64.08,25.69,-5.35,-110.92,-2.1,27.13,-145.78,-34.2
6789,53.0313,-4.46,31.76,-3.64,7.39,55.26,1.88,4.03,29.69,-4.8,14.66,-23.67,25.59,-20.1,8.79,-9.87,-5.12,4.77,-3.89,-0.36,14.03,4.3,45.42,11.15,-10.82,-69.34,25.49,-1.23,-62.64,2.17,-6.61,62.63,25.73,-5.22,-110.96,-2.02,24.82,-147.24,-32.52
6790,53.0391,-4.49,31.68,-3.54,7.55,55.41,1.97,4.22,29.89,-4.6,14.75,-23.98,25.73,-19.73,8.66,-10.15,-5.4,4.77,-3.92,-0.15,14.04,4.24,44.86,10.76,-10.68,-67.97,26.29,-1.08,-62.6,1.94,-4.28,61.26,25.81,-5.08,-111.07,-1.92,22.38,-148.46,-30.82
6791,53.0469,-4.52,31.61,-3.44,7.69,55.57,2.05,4.43,30.06,-4.4,14.82,-24.28,25.87,-19.37,8.54,-10.44,-5.69,4.75,-3.97,0.03,14.03,4.15,44.28,10.37,-10.45,-66.51,27.11,-0.93,-62.59,1.72,-1.8,59.99,25.88,-4.94,-111.24,-1.82,19.85,-149.45,-29.12
6792,53.0547,-4.55,31.54,-3.34,7.8,55.71,2.12,4.64,30.21,-4.2,14.88,-24.57,26.01,-19.02,8.44,-10.75,-5.97,4.72,-4.02,0.19,14.02,4.02,43.78,9.98,-10.17,-65.03,27.92,-0.82,-62.67,1.49,0.78,58.9,25.91,-4.78,-111.43,-1.71,17.25,-150.21,-27.41
6793,53.0625,-4.58,31.47,-3.25,7.9,55.86,2.17,4.88,30.34,-4,14.92,-24.85,26.15,-18.7,8.34,-11.06,-6.26,4.69,-4.07,0.33,14,3.83,43.38,9.62,-9.93,-63.62,28.7,-0.75,-62.8,1.23,3.4,58.1,25.88,-4.6,-111.59,-1.61,14.58,-150.7,-25.67
6794,53.0703,-4.61,31.41,-3.17,7.99,56.01,2.21,5.14,30.45,-3.81,14.95,-25.1,26.3,-18.41,8.23,-11.37,-6.55,4.64,-4.12,0.46,13.98,3.78,42.96,9.27,-9.81,-62.38,29.43,-0.63,-62.86,1.11,5.98,57.65,25.77,-4.39,-111.69,-1.52,11.89,-150.91,-23.9
6795,53.0781,-4.65,31.35,-3.1,8.08,56.16,2.24,5.41,30.54,-3.61,14.95,-25.32,26.43,-18.16,8.12,-11.66,-6.84,4.57,-4.18,0.58,13.95,3.91,42.54,8.94,-9.81,-61.38,30.08,-0.41,-62.82,1.19,8.49,57.53,25.5,-4.14,-111.71,-1.43,9.22,-150.87,-22.03
6796,53.0859,-4.68,31.3,-3.04,8.17,56.31,2.27,5.69,30.61,-3.41,14.93,-25.52,26.55,-17.96,7.98,-11.91,-7.13,4.49,-4.24,0.7,13.93,4.08,42.18,8.61,-9.86,-60.64,30.64,-0.2,-62.74,1.33,10.92,57.65,25.01,-3.86,-111.67,-1.35,6.56,-150.68,-20.05
6797,53.0938,-4.72,31.25,-3.01,8.24,56.47,2.31,6.01,30.69,-3.21,14.9,-25.69,26.64,-17.78,7.84,-12.13,-7.41,4.42,-4.3,0.83,13.9,4.22,41.9,8.3,-9.9,-60.14,31.12,-0.02,-62.66,1.46,13.24,57.84,24.32,-3.54,-111.56,-1.27,3.92,-150.47,-17.98
6798,53.1016,-4.75,31.21,-2.98,8.33,56.63,2.36,6.35,30.76,-2.99,14.85,-25.85,26.72,-17.63,7.7,-12.31,-7.68,4.34,-4.37,0.95,13.89,4.36,41.72,7.98,-9.9,-59.85,31.53,0.13,-62.63,1.58,15.44,58,23.43,-3.21,-111.43,-1.18,1.35,-150.38,-15.86
6799,53.1094,-4.78,31.18,-2.97,8.44,56.79,2.4,6.7,30.83,-2.78,14.8,-26,26.76,-17.5,7.55,-12.46,-7.92,4.28,-4.44,1.06,13.88,4.54,41.62,7.67,-9.89,-59.73,31.89,0.28,-62.65,1.72,17.48,58.03,22.43,-2.85,-111.29,-1.09,-1.16,-150.51,-13.68
6800,53.1172,-4.8,31.16,-2.98,8.57,56.94,2.43,7.06,30.92,-2.58,14.77,-26.15,26.78,-17.38,7.4,-12.58,-8.14,4.21,-4.5,1.16,13.87,4.74,41.6,7.38,-9.93,-59.76,32.2,0.4,-62.7,1.87,19.36,57.92,21.39,-2.48,-111.12,-0.99,-3.62,-150.84,-11.44
6801,53.125,-4.82,31.14,-3,8.71,57.08,2.46,7.41,31.03,-2.37,14.74,-26.3,26.77,-17.23,7.26,-12.67,-8.33,4.17,-4.56,1.25,13.87,4.93,41.63,7.09,-10.05,-59.92,32.48,0.5,-62.8,2.01,21.09,57.71,20.35,-2.1,-110.95,-0.89,-6.07,-151.32,-9.11
6802,53.1328,-4.81,31.13,-3.03,8.87,57.22,2.49,7.75,31.17,-2.17,14.74,-26.46,26.74,-17.06,7.12,-12.74,-8.49,4.14,-4.62,1.33,13.88,5.11,41.71,6.81,-10.27,-60.19,32.7,0.57,-62.93,2.13,22.67,57.42,19.33,-1.72,-110.79,-0.78,-8.47,-151.85,-6.7
6803,53.1406,-4.81,31.13,-3.07,9.04,57.34,2.51,8.08,31.33,-1.97,14.74,-26.6,26.69,-16.86,6.98,-12.79,-8.62,4.11,-4.67,1.4,13.88,5.29,41.82,6.53,-10.58,-60.55,32.83,0.64,-63.05,2.26,24.08,57.07,18.35,-1.33,-110.61,-0.67,-10.77,-152.39,-4.21
6804,53.1484,-4.79,31.13,-3.11,9.2,57.46,2.53,8.4,31.5,-1.77,14.76,-26.74,26.63,-16.64,6.83,-12.82,-8.73,4.09,-4.73,1.47,13.89,5.48,41.93,6.24,-10.99,-61.02,32.84,0.71,-63.16,2.39,25.35,56.72,17.38,-0.95,-110.42,-0.57,-12.9,-152.87,-1.7
6805,53.1563,-4.78,31.13,-3.16,9.36,57.58,2.54,8.69,31.68,-1.58,14.79,-26.85,26.57,-16.4,6.7,-12.82,-8.83,4.06,-4.78,1.54,13.9,5.65,42.03,5.94,-11.49,-61.66,32.69,0.77,-63.25,2.51,26.52,56.46,16.37,-0.57,-110.25,-0.46,-14.89,-153.26,0.79
6806,53.1641,-4.76,31.14,-3.2,9.51,57.69,2.54,8.97,31.85,-1.38,14.83,-26.96,26.52,-16.15,6.57,-12.8,-8.91,4.03,-4.83,1.63,13.91,5.81,42.12,5.65,-12.02,-62.49,32.4,0.83,-63.34,2.62,27.66,56.37,15.3,-0.2,-110.09,-0.36,-16.8,-153.49,3.18
6807,53.1719,-4.74,31.14,-3.25,9.64,57.8,2.53,9.24,32.03,-1.2,14.86,-27.08,26.47,-15.9,6.44,-12.75,-8.97,3.99,-4.9,1.73,13.92,5.95,42.19,5.34,-12.52,-63.48,31.98,0.89,-63.4,2.73,28.87,56.51,14.15,0.17,-109.95,-0.26,-18.69,-153.5,5.41
6808,53.1797,-4.72,31.16,-3.29,9.73,57.92,2.54,9.5,32.19,-1.01,14.88,-27.21,26.44,-15.66,6.33,-12.71,-9.01,3.95,-4.96,1.84,13.93,6.05,42.25,5.02,-12.98,-64.56,31.49,0.93,-63.43,2.84,30.18,56.9,12.92,0.55,-109.81,-0.17,-20.61,-153.26,7.45
6809,53.1875,-4.71,31.18,-3.32,9.78,58.04,2.56,9.77,32.34,-0.82,14.88,-27.37,26.42,-15.43,6.23,-12.68,-9.05,3.9,-5.03,1.94,13.93,6.11,42.29,4.68,-13.42,-65.67,31.03,0.96,-63.44,2.95,31.63,57.59,11.66,0.93,-109.69,-0.08,-22.59,-152.7,9.44
6810,53.1953,-4.7,31.22,-3.36,9.8,58.17,2.58,10.05,32.48,-0.65,14.87,-27.55,26.4,-15.22,6.14,-12.66,-9.07,3.85,-5.1,2.04,13.92,6.14,42.33,4.34,-13.92,-66.78,30.69,0.98,-63.46,3.07,33.15,58.66,10.41,1.3,-109.59,-0.02,-24.58,-151.73,11.51
6811,53.2031,-4.7,31.26,-3.4,9.81,58.29,2.59,10.33,32.59,-0.49,14.84,-27.74,26.4,-15.03,6.06,-12.65,-9.08,3.8,-5.17,2.13,13.9,6.17,42.38,4.01,-14.51,-67.79,30.52,0.96,-63.5,3.2,34.63,60,9.23,1.67,-109.52,0.04,-26.47,-150.42,13.77
6812,53.2109,-4.71,31.31,-3.44,9.8,58.39,2.58,10.62,32.69,-0.34,14.8,-27.95,26.39,-14.84,5.98,-12.67,-9.09,3.74,-5.24,2.13,13.97,6.19,42.44,3.69,-15.1,-68.55,30.53,0.92,-63.58,3.34,35.97,61.37,8.1,2.04,-109.48,0.09,-28.12,-149.03,16.23
6813,53.2188,-4.71,31.36,-3.48,9.79,58.48,2.56,10.9,32.77,-0.2,14.76,-28.15,26.39,-14.68,5.9,-12.7,-9.09,3.68,-5.31,2.19,13.93,6.2,42.5,3.36,-15.53,-68.96,30.67,0.86,-63.69,3.5,37.1,62.56,6.97,2.4,-109.47,0.12,-29.34,-147.84,18.69
6814,53.2266,-4.7,31.4,-3.52,9.77,58.55,2.55,11.17,32.82,-0.08,14.72,-28.31,26.38,-14.52,5.83,-12.74,-9.07,3.61,-5.38,2.23,13.89,6.2,42.56,3.02,-15.68,-69.01,30.87,0.79,-63.83,3.66,37.96,63.44,5.83,2.77,-109.48,0.13,-29.99,-147.01,20.84
6815,53.2344,-4.68,31.41,-3.55,9.76,58.62,2.53,11.42,32.84,0.05,14.69,-28.43,26.38,-14.36,5.75,-12.79,-9.05,3.55,-5.45,2.26,13.84,6.2,42.62,2.65,-15.55,-68.74,31.06,0.72,-63.95,3.83,38.56,64.06,4.69,3.13,-109.47,0.12,-30.21,-146.37,22.4
6816,53.2422,-4.64,31.42,-3.57,9.74,58.67,2.51,11.65,32.85,0.17,14.67,-28.49,26.37,-14.21,5.67,-12.84,-9,3.48,-5.52,2.3,13.79,6.22,42.73,2.27,-15.27,-68.17,31.27,0.66,-64.09,4.04,38.91,64.34,3.81,3.5,-109.42,0.07,-30.3,-145.72,23.19
6817,53.25,-4.6,31.41,-3.56,9.74,58.71,2.51,11.84,32.83,0.29,14.65,-28.52,26.36,-14.05,5.58,-12.89,-8.93,3.4,-5.59,2.35,13.75,6.25,42.85,1.88,-14.98,-67.32,31.52,0.59,-64.21,4.26,39.22,64.66,3.37,3.88,-109.34,0,-30.55,-144.54,22.86
6818,53.2578,-4.55,31.38,-3.54,9.74,58.74,2.51,12.01,32.79,0.42,14.64,-28.51,26.34,-13.9,5.51,-12.93,-8.81,3.33,-5.65,2.41,13.71,6.27,42.97,1.49,-14.65,-66.31,31.86,0.5,-64.32,4.49,39.12,63.74,3.95,4.27,-109.24,-0.1,-30.68,-144.15,22.07
6819,53.2656,-4.5,31.34,-3.49,9.76,58.75,2.52,12.15,32.71,0.56,14.65,-28.47,26.33,-13.74,5.45,-12.95,-8.66,3.24,-5.71,2.49,13.67,6.3,43.09,1.1,-14.35,-65.13,32.32,0.39,-64.42,4.74,38.83,62.2,5.26,4.66,-109.12,-0.22,-30.64,-144.05,20.77
6820,53.2734,-4.44,31.29,-3.41,9.79,58.75,2.54,12.27,32.62,0.7,14.65,-28.41,26.31,-13.57,5.42,-12.95,-8.49,3.16,-5.77,2.59,13.62,6.33,43.17,0.74,-14.12,-63.89,32.91,0.26,-64.48,5.02,38.64,61,6.81,5.04,-109.01,-0.39,-30.45,-143.57,18.86
6821,53.2813,-4.38,31.24,-3.32,9.8,58.74,2.56,12.38,32.5,0.81,14.66,-28.33,26.29,-13.4,5.44,-12.92,-8.29,3.07,-5.82,2.72,13.58,6.38,43.22,0.38,-13.93,-62.78,33.54,0.12,-64.49,5.34,38.43,59.86,8.5,5.43,-108.9,-0.61,-29.96,-143.35,16.9
6822,53.2891,-4.33,31.2,-3.23,9.79,58.75,2.59,12.48,32.36,0.89,14.66,-28.22,26.27,-13.24,5.52,-12.84,-8.07,2.97,-5.87,2.85,13.53,6.44,43.24,0.01,-13.78,-61.89,34.1,-0.04,-64.45,5.71,38.15,58.94,10.11,5.83,-108.79,-0.89,-29.02,-143.51,15.08
6823,53.2969,-4.28,31.17,-3.14,9.74,58.78,2.66,12.56,32.23,0.93,14.65,-28.1,26.24,-13.07,5.64,-12.71,-7.85,2.86,-5.93,2.97,13.49,6.51,43.26,-0.38,-13.7,-61.26,34.45,-0.21,-64.39,6.14,37.66,58.18,11.55,6.26,-108.68,-1.24,-27.55,-144.19,13.43
6824,53.3047,-4.25,31.14,-3.08,9.67,58.84,2.79,12.62,32.1,0.92,14.63,-27.96,26.21,-12.9,5.81,-12.53,-7.62,2.76,-6,3.05,13.44,6.6,43.26,-0.8,-13.66,-60.87,34.51,-0.42,-64.33,6.61,37.02,57.44,12.72,6.7,-108.61,-1.67,-26.01,-145.26,11.65
6825,53.3125,-4.24,31.12,-3,9.58,58.89,3.04,12.68,32,0.91,14.56,-27.82,26.21,-12.71,6,-12.32,-7.4,2.66,-6.06,3.06,13.39,6.67,43.19,-1.29,-13.75,-60.66,34.2,-0.7,-64.3,7.09,36.3,56.78,13.53,7.16,-108.61,-2.19,-24.97,-146.66,9.62
6826,53.3203,-4.23,31.1,-2.95,9.49,58.94,3.39,12.72,31.93,0.87,14.49,-27.67,26.22,-12.49,6.22,-12.1,-7.2,2.55,-6.12,3,13.32,6.77,43.07,-1.84,-13.86,-60.83,33.57,-1.06,-64.23,7.58,35.82,57.05,13.57,7.64,-108.62,-2.8,-24.54,-147.56,7.87
6827,53.3281,-4.15,31.09,-2.99,9.49,59,3.61,12.67,31.91,0.72,14.44,-27.48,26.17,-12.25,6.44,-11.87,-7.06,2.39,-6.18,2.87,13.23,6.95,42.93,-2.31,-13.85,-61.3,32.99,-1.45,-64.05,8.13,35.98,58.57,12.81,8.13,-108.54,-3.52,-24.31,-147.48,6.5
6828,53.3359,-4.07,31.08,-3.05,9.63,59.09,3.72,12.61,31.86,0.55,14.36,-27.21,26.13,-12.02,6.66,-11.6,-6.97,2.19,-6.23,2.69,13.12,7.28,42.79,-2.59,-13.94,-61.59,32.74,-1.88,-63.93,8.74,36.32,60.2,12.09,8.64,-108.48,-4.33,-23.8,-147.26,5.08
6829,53.3438,-4.05,31.05,-3.09,9.82,59.19,3.79,12.57,31.78,0.42,14.22,-26.85,26.12,-11.8,6.88,-11.32,-6.9,1.96,-6.29,2.49,13.01,7.68,42.64,-2.73,-14.02,-61.56,32.71,-2.35,-63.88,9.46,36.58,61.54,11.76,9.18,-108.46,-5.24,-23.06,-147.11,3.42
6830,53.3516,-4.04,31.03,-3.19,9.89,59.25,3.8,12.51,31.69,0.27,14.05,-26.45,26.04,-11.6,7.07,-11.01,-6.82,1.73,-6.36,2.3,12.92,7.97,42.46,-2.83,-14.01,-61.31,32.77,-2.92,-63.83,10.23,36.86,62.94,11.55,9.74,-108.45,-6.26,-22.2,-146.68,1.67
6831,53.3594,-4.02,31.03,-3.34,9.81,59.29,3.81,12.42,31.59,0.1,13.89,-26.06,25.88,-11.44,7.24,-10.68,-6.71,1.52,-6.42,2.14,12.88,8.15,42.19,-2.91,-13.83,-60.83,32.87,-3.55,-63.71,11.11,37.16,64.32,11.32,10.34,-108.44,-7.4,-20.93,-145.83,0.05
6832,53.3672,-4.02,31.06,-3.5,9.64,59.31,3.81,12.31,31.47,-0.06,13.73,-25.69,25.68,-11.34,7.4,-10.35,-6.54,1.35,-6.48,2.01,12.89,8.33,41.82,-2.95,-13.4,-59.88,33.01,-4.25,-63.49,12.1,37.41,65.31,11.11,10.97,-108.45,-8.68,-19.85,-144.43,-1.07
6833,53.375,-4.02,31.09,-3.68,9.45,59.3,3.83,12.15,31.33,-0.21,13.61,-25.37,25.45,-11.31,7.57,-10.03,-6.31,1.23,-6.53,1.9,12.96,8.49,41.33,-2.93,-12.75,-58.45,33.2,-5.03,-63.19,13.17,37.6,65.8,11,11.63,-108.43,-10.14,-19.25,-142.66,-1.9
6834,53.3828,-4.03,31.15,-3.84,9.25,59.27,3.9,11.98,31.18,-0.35,13.51,-25.1,25.23,-11.33,7.74,-9.75,-6.04,1.16,-6.56,1.8,13.05,8.66,40.75,-2.88,-12.11,-57.02,33.33,-5.88,-62.77,14.35,37.69,65.98,11.09,12.38,-108.38,-11.82,-18.92,-140.88,-2.69
6835,53.3906,-4.02,31.21,-4.02,9.06,59.2,3.96,11.77,31.03,-0.49,13.46,-24.91,25,-11.4,7.92,-9.52,-5.73,1.15,-6.58,1.69,13.16,9,40.07,-2.78,-11.65,-55.95,33.31,-6.7,-62.17,15.73,37.63,66.21,11.24,13.23,-108.3,-13.72,-18.73,-139.13,-3.26
6836,53.3984,-3.98,31.27,-4.2,8.94,59.1,3.98,11.56,30.88,-0.64,13.42,-24.78,24.79,-11.51,8.09,-9.33,-5.41,1.2,-6.58,1.55,13.27,9.48,39.3,-2.61,-11.43,-55.39,33.09,-7.5,-61.45,17.22,37.36,66.53,11.42,14.22,-108.22,-15.82,-18.49,-137.76,-3.66
6837,53.4063,-3.95,31.32,-4.35,8.9,59,3.97,11.36,30.74,-0.75,13.38,-24.67,24.63,-11.64,8.24,-9.18,-5.1,1.29,-6.57,1.38,13.37,9.99,38.6,-2.37,-11.45,-55.33,32.66,-8.32,-60.77,18.74,36.91,66.87,11.72,15.4,-108.13,-18.13,-18.05,-137.2,-4.08
6838,53.4141,-3.89,31.35,-4.48,8.93,58.88,3.92,11.16,30.61,-0.87,13.35,-24.59,24.51,-11.79,8.37,-9.04,-4.81,1.41,-6.54,1.19,13.45,10.48,38.06,-2.06,-11.61,-55.6,32.1,-9.19,-60.2,20.25,36.37,67.29,12.01,16.82,-108.07,-20.65,-17.44,-137.17,-4.54
6839,53.4219,-3.83,31.37,-4.58,9.02,58.74,3.83,10.97,30.5,-0.98,13.31,-24.52,24.42,-11.95,8.5,-8.92,-4.55,1.56,-6.5,0.99,13.52,10.91,37.66,-1.66,-11.84,-56.04,31.53,-10.13,-59.73,21.7,35.9,67.81,12.23,18.55,-108.08,-23.4,-16.85,-137.21,-4.98
6840,53.4297,-3.77,31.37,-4.64,9.15,58.61,3.72,10.81,30.4,-1.07,13.26,-24.45,24.38,-12.1,8.62,-8.79,-4.3,1.73,-6.45,0.74,13.59,11.27,37.43,-1.18,-12.1,-56.49,31.04,-11.12,-59.34,23.13,35.45,68.35,12.44,20.61,-108.15,-26.33,-16.35,-137.09,-5.32
6841,53.4375,-3.73,31.37,-4.64,9.3,58.47,3.61,10.66,30.31,-1.15,13.19,-24.39,24.4,-12.26,8.76,-8.66,-4.08,1.91,-6.39,0.53,13.63,11.58,37.41,-0.66,-12.4,-57.1,30.55,-12.09,-58.97,24.53,35.04,69.08,12.49,22.91,-108.31,-29.28,-15.94,-136.83,-5.57
6842,53.4453,-3.7,31.38,-4.59,9.44,58.36,3.53,10.51,30.23,-1.21,13.12,-24.33,24.45,-12.43,8.91,-8.53,-3.87,2.1,-6.34,0.34,13.67,11.79,37.55,-0.16,-12.69,-57.61,29.98,-13.06,-58.57,25.92,34.54,69.68,12.51,25.34,-108.48,-32.06,-15.56,-136.58,-5.79
6843,53.4531,-3.68,31.4,-4.51,9.56,58.25,3.51,10.35,30.13,-1.27,13.04,-24.27,24.53,-12.62,9.09,-8.41,-3.68,2.29,-6.29,0.16,13.71,11.91,37.84,0.3,-12.98,-58.19,29.31,-13.95,-58.05,27.31,34.01,70.29,12.51,27.75,-108.49,-34.52,-15.18,-136.44,-6.03
6844,53.4609,-3.68,31.42,-4.4,9.65,58.16,3.55,10.16,30,-1.33,12.95,-24.18,24.63,-12.84,9.3,-8.27,-3.49,2.46,-6.24,-0.02,13.75,11.98,38.27,0.71,-13.26,-58.82,28.59,-14.64,-57.22,28.78,33.45,70.81,12.55,30.08,-108.02,-36.49,-14.78,-136.41,-6.23
6845,53.4688,-3.69,31.47,-4.27,9.73,58.06,3.63,9.97,29.85,-1.39,12.84,-24.05,24.75,-13.09,9.56,-8.12,-3.31,2.61,-6.19,-0.18,13.8,12.02,38.78,1.14,-13.52,-59.47,27.88,-15.11,-56,30.37,32.85,71.2,12.66,32.21,-106.9,-37.88,-14.36,-136.5,-6.37
6846,53.4766,-3.72,31.53,-4.13,9.82,57.96,3.74,9.77,29.67,-1.44,12.72,-23.86,24.88,-13.35,9.84,-7.94,-3.16,2.73,-6.15,-0.35,13.84,12.04,39.27,1.63,-13.76,-60.11,27.22,-15.57,-54.61,32.06,32.22,71.47,12.82,34.16,-105.43,-38.62,-13.91,-136.74,-6.42
6847,53.4844,-3.77,31.6,-3.98,9.9,57.86,3.88,9.57,29.47,-1.48,12.6,-23.57,25.03,-13.61,10.16,-7.72,-3.02,2.81,-6.12,-0.51,13.89,11.98,39.73,2.16,-14,-60.76,26.6,-16.17,-53.44,33.55,31.53,71.62,13.04,35.79,-104.04,-38.93,-13.41,-137.14,-6.39
